GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_7: Land area in square kilometres,v_CA21_6: Population density per square kilometre,"v_CA21_1: Population, 2021",v_CA21_389: Average age,v_CA21_386: Average age,v_CA21_1139: Inequality measures for the population in private households,v_CA21_1055: LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable,"v_CA21_1070: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",v_CA21_4237: Total - Private households by tenure,v_CA21_4293: Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',"v_CA21_4302: Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings",v_CA21_6492: Total - Population aged 15 years and over by labour force status
48110173,DA,48110173,0.0332,825,723,626,0.03,24849.4,825,40.8,47.7,825,825,100,11.8,655,330,635,815
48110174,DA,48110174,0.0571,911,391,353,0.06,15954.5,911,62.8,62.1,545,545,40,7.6,370,120,345,545
48110176,DA,48110176,0.1008,470,366,324,0.1,4662.7,470,36.0,39.6,470,470,70,15.2,300,125,290,400
48110177,DA,48110177,0.0249,447,315,292,0.02,17951.8,447,32.4,37.0,445,445,70,16.5,265,115,260,365
48110178,DA,48110178,0.2604,479,309,270,0.26,1839.5,479,49.2,48.2,480,480,35,7.2,265,120,250,400
48110179,DA,48110179,0.1464,453,263,229,0.15,3094.3,453,37.6,38.0,450,450,50,10.8,230,105,220,400
48110180,DA,48110180,0.1843,449,192,180,0.18,2436.2,449,40.0,39.7,445,445,10,2.8,180,50,175,385
48110181,DA,48110181,0.1296,522,262,235,0.13,4027.8,522,37.6,37.9,520,520,25,4.4,245,90,235,400
48110182,DA,48110182,0.2195,566,234,225,0.22,2578.6,566,38.4,38.1,565,565,25,4.4,235,65,230,495
48110183,DA,48110183,0.2065,523,308,273,0.21,2532.7,523,41.6,41.4,520,520,35,6,275,130,275,415
48110184,DA,48110184,0.1586,514,256,228,0.16,3240.9,514,39.2,38.5,515,515,40,8,225,75,220,385
48110185,DA,48110185,0.0753,503,112,104,0.08,6679.9,503,70.5,63.2,,230,5,,110,45,,215
48110186,DA,48110186,0.1576,686,389,349,0.16,4352.8,686,38.4,38.6,685,685,85,12.8,320,175,310,565
48110187,DA,48110187,0.0831,414,250,231,0.08,4981.9,414,40.0,40.2,415,415,65,14.8,225,115,210,375
48110188,DA,48110188,0.1867,473,225,204,0.19,2533.5,473,40.4,41.6,465,465,20,5.2,215,50,210,410
48110189,DA,48110189,0.1652,568,333,305,0.17,3438.3,568,42.0,42.3,565,565,35,6,330,135,320,545
48110190,DA,48110190,0.4846,593,388,349,0.48,1223.7,593,42.8,42.9,595,595,110,18.8,385,180,385,585
48110191,DA,48110191,0.1438,616,345,303,0.14,4283.7,616,36.4,37.6,615,615,60,10,295,140,285,525
48110192,DA,48110192,0.1552,616,380,350,0.16,3969.1,616,39.2,40.6,615,615,80,13.4,360,165,340,540
48110193,DA,48110193,0.0429,435,234,208,0.04,10139.9,435,32.0,31.8,435,435,50,12,210,105,200,345
48110194,DA,48110194,0.281,596,322,281,0.28,2121,596,32.4,35.6,595,595,65,11.6,280,165,265,490
48110195,DA,48110195,0.0431,615,365,310,0.04,14269.1,615,31.0,31.9,615,615,130,21.2,320,195,315,525
48110196,DA,48110196,0.0645,643,368,330,0.06,9969,643,33.2,33.6,645,645,120,18.8,355,240,350,610
48110198,DA,48110198,0.0444,555,376,313,0.04,12500,555,33.2,33.8,555,555,115,20.4,270,140,265,385
48110199,DA,48110199,0.1063,754,577,477,0.11,7093.1,754,31.2,34.2,755,755,120,15.8,480,235,470,740
48110200,DA,48110200,0.2106,994,731,662,0.21,4719.8,994,35.2,40.2,995,995,75,8,715,235,690,1030
48110201,DA,48110201,0.2804,1251,896,803,0.28,4461.5,1251,33.6,36.5,1250,1250,125,9.8,850,305,830,1225
48110202,DA,48110202,0.0852,809,563,467,0.09,9495.3,809,32.4,33.9,805,805,220,27.4,495,315,470,775
